"Prévia da população calculada com base nos resultados do","","","",""
"Censo Demográfico 2022 até 25 de dezembro de 2022","","","",""
"UF","COD. UF","COD. MUNIC","NOME DO MUNICÍPIO","POPULAÇÃO"
"PA","15","00107","Abaetetuba","158.042"
"PA","15","00131","Abel Figueiredo","6.119"
"PA","15","00206","Acará","63.268"
"PA","15","00305","Afuá","38.020"
"PA","15","00347","Água Azul do Norte","16.672"
"PA","15","00404","Alenquer","86.096"
"PA","15","00503","Almeirim","38.843"
"PA","15","00602","Altamira","135.067"
"PA","15","00701","Anajás","34.065"
"PA","15","00800","Ananindeua","515.745"
"PA","15","00859","Anapu","33.566"
"PA","15","00909","Augusto Corrêa","43.691"
"PA","15","00958","Aurora do Pará","32.772"
"PA","15","01006","Aveiro","18.343"
"PA","15","01105","Bagre","35.265"
"PA","15","01204","Baião","51.844"
"PA","15","01253","Bannach","3.730"
"PA","15","01303","Barcarena","126.733"
"PA","15","01402","Belém","1.367.336"
"PA","15","01451","Belterra","18.060"
"PA","15","01501","Benevides","56.152"
"PA","15","01576","Bom Jesus do Tocantins","14.511"
"PA","15","01600","Bonito","12.892"
"PA","15","01709","Bragança","121.793"
"PA","15","01725","Brasil Novo","30.214"
"PA","15","01758","Brejo Grande do Araguaia","6.791"
"PA","15","01782","Breu Branco","40.157"
"PA","15","01808","Breves","114.628"
"PA","15","01907","Bujaru","27.049"
"PA","15","01956","Cachoeira do Piriá","26.510"
"PA","15","02004","Cachoeira do Arari","22.950"
"PA","15","02103","Cametá","134.734"
"PA","15","02152","Canaã dos Carajás","75.433"
"PA","15","02202","Capanema","70.321"
"PA","15","02301","Capitão Poço","56.331"
"PA","15","02400","Castanhal","200.003"
"PA","15","02509","Chaves","20.630"
"PA","15","02608","Colares","11.923"
"PA","15","02707","Conceição do Araguaia","44.765"
"PA","15","02756","Concórdia do Pará","26.869"
"PA","15","02764","Cumaru do Norte","12.397"
"PA","15","02772","Curionópolis","19.929"
"PA","15","02806","Curralinho","38.060"
"PA","15","02855","Curuá","14.126"
"PA","15","02905","Curuçá","44.493"
"PA","15","02939","Dom Eliseu","58.444"
"PA","15","02954","Eldorado do Carajás","30.264"
"PA","15","03002","Faro","8.728"
"PA","15","03044","Floresta do Araguaia","17.896"
"PA","15","03077","Garrafão do Norte","24.716"
"PA","15","03093","Goianésia do Pará","23.806"
"PA","15","03101","Gurupá","31.945"
"PA","15","03200","Igarapé-Açu","35.788"
"PA","15","03309","Igarapé-Miri","66.369"
"PA","15","03408","Inhangapi","10.334"
"PA","15","03457","Ipixuna do Pará","29.116"
"PA","15","03507","Irituia","30.627"
"PA","15","03606","Itaituba","137.170"
"PA","15","03705","Itupiranga","53.873"
"PA","15","03754","Jacareacanga","24.742(23)"
"PA","15","03804","Jacundá","36.184"
"PA","15","03903","Juruti","57.837"
"PA","15","04000","Limoeiro do Ajuru","29.617"
